id;name;latin;category;section;price;currency;availability;status;url;image;image_2;image_3;period;age;location;size;description
R-0286;Палласит Сеймчан;Seymchan Pallasite;Метеориты;Космос;1700000;RUB;in stock;В наличии;https://relictum.gallery/objects/0286-seymchan-17x25.html;https://relictum.gallery/shared/img/ph_met_seymchan17x25.jpg;https://relictum.gallery/shared/img/int_ph_met_seymchan17x25.jpg;;До зарождения жизни;≈ 4,56 млрд лет;Магаданская область, Россия;17,5 × 25 см;Малый спил берёт участок той же пограничной зоны: металла здесь больше, оливина меньше — значит, эта часть тела лежала ближе к ядру. Палласиты — редчайший класс метеоритов. Они рождались на границе между железным ядром и каменной мантией разрушенной протопланеты: расплавленное никелистое железо просачивалось сквозь кристаллы оливина и застывало вместе с ними. Такое возможно только там, где металл и камень встречаются под огромным давлением. Сеймчан нашли в 1967 году на севере Магаданской области, и с тех пор он считается одним из самых красивых метеоритов России. На спиле видно то, что нельзя сделать ни в одной мастерской: металлическая сетка с видманштеттеновыми линиями космической кристаллизации, в которой сидят прозрачные зёрна оливина — на просвет они загораются янтарём. Возраст вещества — около 4,56 миллиарда лет: оно старше Земли.
R-0214;Скелет пернатого динозавра;Anchiornis huxleyi;Динозавры;Жизнь;9300000;RUB;in stock;В наличии;https://relictum.gallery/objects/0214-anchiornis-huxleyi.html;https://relictum.gallery/shared/img/ph_anchiornis.jpg;https://relictum.gallery/shared/img/int_ph_anchiornis.jpg;https://relictum.gallery/shared/img/ph_anchiornis.jpg;Юрский период;≈ 160 млн лет;Провинция Ляонин, Китай, формация Тяоцзишань;Плита 53,5 × 43 см;"Около 160 миллионов лет назад в позднеюрских лесах, отложения которых сегодня известны как формация Тяоцзишань, жил Anchiornis huxleyi — небольшой пернатый теропод, чьё имя переводится как «почти птица». Находки этого рода сыграли важную роль в изучении происхождения птиц: оперение здесь появляется задолго до способности к машущему полёту. Видовое имя дано в честь Томаса Генри Гексли, одним из первых связавшего динозавров и птиц. Сочленённый скелет лежит на известняковой плите 53,5 × 43 сантиметра с фигурным краем. Читаются зубы и когти — детали, которые при препарировании плит такого размера обычно теряются. По ископаемым меланосомам таких находок восстановлена прижизненная окраска анхиорниса: серо-чёрное тело и белые перья крыльев с чёрными кончиками. Экземпляр относится к одной из самых обсуждаемых групп современной палеонтологии; за пределами музеев Китая подобные скелеты единичны."
R-0255;Уваровит;Uvarovite;Минералы;Земля;500000;RUB;in stock;В наличии;https://relictum.gallery/objects/0255-uvarovite.html;https://relictum.gallery/shared/img/ph_uvarovite.jpg;https://relictum.gallery/shared/img/int_ph_uvarovite.jpg;https://relictum.gallery/shared/img/g_uvarovite_1.jpg;Эдиакарский период;≈ 550 млн лет;Сарановское месторождение, Пермский край, Россия;49 × 30 × 15 см, вес 2,99 кг;Уваровит — редкая хромсодержащая разновидность граната с ярко-зелёной окраской. Крупных кристаллов он почти не образует, чаще всего это сплошные ковры из мелких граней на поверхности породы. В ювелирном деле используют именно такие фрагменты: множество мелких кристаллов даёт насыщенное мерцание без крупной огранки. Минерал назван в честь российского государственного деятеля и учёного, президента Санкт-Петербургской академии наук графа Сергея Семёновича Уварова (1786–1855). Сарановское месторождение в Пермском крае остаётся одним из классических источников коллекционного уваровита.
R-0237;Морская лилия;Traumatocrinus guanlingensis;Морские лилии;Жизнь;500000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0237-crinoid-pair.html;https://relictum.gallery/shared/img/ph_crinoid_pair.jpg;https://relictum.gallery/shared/img/int_ph_crinoid_pair.jpg;https://relictum.gallery/shared/img/g_crinoid_pair_1.jpg;Триасовый период;≈ 235 млн лет;Юньнань-Гуйчжоу, Китай;;Тёплое море покрывало юг нынешнего Китая 235 миллионов лет назад. По его поверхности дрейфовали стволы деревьев, и к ним, как ожившие цветы на длинных стеблях, крепились колонии Traumatocrinus — триасовых морских лилий. Морская лилия только выглядит растением. Это животное, родственник морских звёзд и ежей: веер перистых рук раскрывался в толще воды и процеживал её, собирая планктон, а членистый стебель держал крону на дрейфующем плавнике. Когда дерево тонуло, колония опускалась на дно и оказывалась погребённой в тонком иле — так возникли плиты формации Гуаньлин, к которой относится и этот экземпляр. Иловое захоронение сохранило этих животных с редкой полнотой: кроны, перистые руки и стебли лежат в породе рельефом, как гербарий, собранный самой геологией. Каждая плита — это одна сцена той катастрофы и одна композиция, не повторяющаяся дважды. Морские лилии этого рода исчезли вместе со своим миром, но их изящество не устарело за четверть миллиарда лет. Плита с Traumatocrinus сохраняет колонию в прижизненном положении — так, как она дрейфовала на своём стволе.
R-0608;Череп шерстистого носорога;Coelodonta antiquitatis;Мамонтовая фауна;Монументы;1600000;RUB;in stock;В наличии;https://relictum.gallery/objects/0608-coelodonta-antiquitatis.html;https://relictum.gallery/shared/img/ph_rhino_skull.jpg;https://relictum.gallery/shared/img/int_ph_rhino.jpg;https://relictum.gallery/shared/img/g_rhino_2.jpg;Плейстоцен;50–150 тыс лет;Якутия, Россия;130 × 82 × 35 см;Мамонтовая степь плейстоцена держалась на нескольких крупных травоядных. Вторым по величине после мамонта был шерстистый носорог Coelodonta antiquitatis — символ ледниковой Евразии. Передний рог у него вырастал до метра и служил лопатой: им зверь разгребал снег, чтобы добраться до промёрзшей травы. Рог сложен кератином и сохраняется в отложениях гораздо хуже кости. Этот череп сохранил оба рога и полный зубной ряд — сочетание, которое встречается в единичных находках. Габариты — 130 × 82 × 35 сантиметров. Возраст экземпляра — от пятидесяти до ста пятидесяти тысяч лет: кость пережила несколько оледенений.
R-0273;Аммонит Craspedodiscus;Craspedodiscus sp.;Аммониты;Жизнь;1600000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0273-craspedodiscus.html;https://relictum.gallery/shared/img/ph_craspedodiscus.jpg;https://relictum.gallery/shared/img/int_ph_craspedodiscus.jpg;https://relictum.gallery/shared/img/g_craspedodiscus_260921110625.jpg;Меловой период;Меловой период;Ульяновская область, Россия;Диаметр около 30 см;Крупные аммониты рода Craspedodiscus стали визитной карточкой Ульяновской области. Когда-то эти головоногие моллюски жили в тёплом море мелового периода, сегодня их раковины находят в береговых обнажениях. Раковина окрашена в каштановые и тёмно-красные тона, отдельные участки дают радужные переливы окаменевшего перламутра. При смене угла освещения меняется интенсивность этих отблесков, и хорошо читается слоистое строение стенки. Экземпляр происходит из Ульяновской области и находится у партнёров дома в Ульяновске, на этой площадке он демонстрируется с их согласия.
R-0287;Палласит Сеймчан;Seymchan Pallasite;Метеориты;Космос;1700000;RUB;in stock;В наличии;https://relictum.gallery/objects/0287-seymchan-framed.html;https://relictum.gallery/shared/img/ph_met_seymchan_frame.jpg;https://relictum.gallery/shared/img/int_ph_met_seymchan_frame.jpg;https://relictum.gallery/shared/img/ph_met_seymchan_frame.jpg;До зарождения жизни;≈ 4,56 млрд лет;Магаданская область, Россия;;Палласиты — редчайший класс метеоритов. Они рождались на границе между железным ядром и каменной мантией разрушенной протопланеты: расплавленное никелистое железо просачивалось сквозь кристаллы оливина и застывало вместе с ними. Такое возможно только там, где металл и камень встречаются под огромным давлением. Сеймчан нашли в 1967 году на севере Магаданской области, и с тех пор он считается одним из самых красивых метеоритов России. На спиле видно то, что нельзя сделать ни в одной мастерской: металлическая сетка с видманштеттеновыми линиями космической кристаллизации, в которой сидят прозрачные зёрна оливина — на просвет они загораются янтарём. Возраст вещества — около 4,56 миллиарда лет: оно старше Земли.
R-0215;Яйца динозавра;Elongatoolithidae;Динозавры;Жизнь;1100000;RUB;in stock;В наличии;https://relictum.gallery/objects/0215-dinosaur-eggs.html;https://relictum.gallery/shared/img/ph_dino_eggs.jpg;https://relictum.gallery/shared/img/int_ph_dino_eggs.jpg;https://relictum.gallery/shared/img/g_eggs_1.jpg;Меловой период;≈ 89 млн лет;Провинция Ляонин, Китай;16 × 19,2 см, высота 7,7 см;"От позднемеловых динозавровых гнёзд до нас доходит немногое: скорлупа хрупка и почти всегда рассыпается прежде, чем успевает окаменеть. Эти два удлинённых яйца лежат на общей породе и относятся к группе Elongatoolithidae, которую находки эмбрионов связывают с овирапторозаврами — пернатыми всеядными динозаврами, похожими на нынешних казуаров. Они насиживали кладки до двадцати яиц, охраняя гнездо, как птицы. Скорлупа сохранила рельеф из бугорков, выстроенных продольными линиями; внутри яйца — каменное ядро окаменевшего осадка. Экспонат найден в провинции Ляонин. Ископаемые яйца — редкий тип свидетельства: они говорят не об отдельном животном, а о его размножении."
R-0611;Скелет шерстистого носорога;Coelodonta antiquitatis;Мамонтовая фауна;Монументы;12000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0611-coelodonta-skeleton.html;https://relictum.gallery/shared/img/ph_rhino_skeleton.jpg;https://relictum.gallery/shared/img/int_ph_rhino_skeleton.jpg;https://relictum.gallery/shared/img/ph_rhino_skeleton.jpg;Плейстоцен;50–150 тыс лет;Якутия, Россия;Полный скелет;Coelodonta antiquitatis — зверь ледниковой Евразии под густой шерстью, весом до трёх с половиной тонн: второй по массе обитатель мамонтовой степи после мамонта. Его силуэт узнаваем: низко посаженный череп, короткая мощная шея, глубокая грудная клетка, тяжёлый таз, короткие столбчатые ноги. Так он и держался при жизни — головой к земле, всей массой вперёд. Скелет обнаружен в Якутии и сохранился целиком, с характерными крупными рогами. Возраст экземпляра — от пятидесяти до ста пятидесяти тысяч лет. Полные скелеты шерстистого носорога наперечёт даже в музейных собраниях.
R-0288;Сеймчан без оливина;Seymchan Pallasite;Метеориты;Космос;1100000;RUB;in stock;В наличии;https://relictum.gallery/objects/0288-seymchan-no-olivine.html;https://relictum.gallery/shared/img/ph_seymchan_no_olivine_260921105348.jpg;https://relictum.gallery/shared/img/int_ph_seymchan_no_olivine_260921105410.jpg;https://relictum.gallery/shared/img/g_seymchan_no_olivine_260921105412.jpg;До зарождения жизни;≈ 4,56 млрд лет;Магаданская область, Россия;Вес 1 565 г;Здесь чистый металл без единого зерна оливина: участок ядра, который не соприкасался с мантией. В соседних спилах того же тела оливин уже есть — граница проходила рядом. Сеймчан — железокаменный метеорит, найденный в Магаданской области у одноимённого посёлка. Он относится к палласитам, но этот экземпляр редок тем, что оливина в нём нет: перед нами почти чистая металлическая часть того же тела. Такие участки формировались ближе к ядру протопланеты, где каменная составляющая уже не проникала в расплав.
R-0220;Челюсть спинозавра;Spinosaurus aegyptiacus;Динозавры;Жизнь;5500000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0220-spinosaurus-jaw.html;https://relictum.gallery/shared/img/ph_spinosaurus_jaw.jpg;https://relictum.gallery/shared/img/int_ph_spinosaurus_jaw.jpg;https://relictum.gallery/shared/img/g_spinojaw_2.jpg;Меловой период;100–94 млн лет;Северная Африка;;Сеноманский век позднего мела: там, где сегодня лежит Сахара, текут широкие реки. Их берега держит Spinosaurus aegyptiacus — крупнейший хищный теропод Северной Африки. Челюсти спинозавра удлинены, а зубы конические, почти круглого сечения. Такой аппарат приспособлен не резать, а удерживать скользкую добычу. Экспонат — фрагмент нижней челюсти с сохранившимся зубным рядом. Подлинная кость животного, вокруг которого до сих пор идут научные споры, — приобретение нечастое.
R-0263;Нога мамонта;Mammuthus primigenius;Мамонтовая фауна;Жизнь;20000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0263-mammoth-leg.html;https://relictum.gallery/shared/img/ph_mammoth_leg.jpg;https://relictum.gallery/shared/img/int_ph_mammoth_leg.jpg;;Плейстоцен;≈ 2,6 млн – 11 тыс лет;Россия, зона вечной мерзлоты;;"Для мумификации нужно, чтобы нога ушла в мерзлоту быстро и не оттаивала ни разу за тысячи лет. Перед вами именно такой случай — с кожей, связками и длинной рыжей шерстью. Широкая округлая ступня — устройство, которым мамонт распределял свои тонны по снегу и болотистой тундростепи; на подошве читается прижизненный рельеф. Такой экспонат показывает зверя ближе, чем любой скелет: это не строение тела, это само тело. Редчайший случай, когда зверь ледникового мира доходит до нас не костью, а телом."
R-0289;Пластина метеорита Омолон;Omolon Pallasite;Метеориты;Космос;750000;RUB;in stock;В наличии;https://relictum.gallery/objects/0289-omolon.html;https://relictum.gallery/shared/img/ph_met_omolon.jpg;https://relictum.gallery/shared/img/int_ph_met_omolon.jpg;https://relictum.gallery/shared/img/ph_met_omolon.jpg;До зарождения жизни;≈ 4,5 млрд лет;Бассейн реки Омолон, Магаданская область, Россия;;Омолон — железокаменный метеорит весом двести пятьдесят килограммов, упавший в Магаданской области, в бассейне реки Омолон. Нашёл его оленевод Иван Тынавьи. Палласиты вроде Омолона рождались на границе ядра и мантии протопланеты: металл застывал вокруг кристаллов оливина. На пластине эта структура видна целиком.
R-0221;Коготь крупного теропода;Carcharodontosaurus sp.;Динозавры;Жизнь;15000000;RUB;in stock;В наличии;https://relictum.gallery/objects/0221-carcharodontosaurus-claw.html;https://relictum.gallery/shared/img/ph_carcharodont_claw.jpg;https://relictum.gallery/shared/img/int_ph_carcharodont_claw.jpg;https://relictum.gallery/shared/img/g_claw_2.jpg;Меловой период;100–94 млн лет;Северная Африка;≈ 26 см;В сеноманском веке, около 100–94 миллионов лет назад, за вершину пищевой цепи Северной Африки со спинозавром спорил род Carcharodontosaurus — «ящер с зубами акулы», один из крупнейших хищных динозавров своего времени. Экспонат — когтевая фаланга, то есть костная основа когтя. При жизни на неё надевался роговой чехол, и коготь был заметно длиннее и острее того, что мы видим сейчас. Длина фаланги — около двадцати шести сантиметров. Отдельная кость такого размера говорит о масштабе животного точнее любого описания.
R-0615;Скелет степного зубра;Bison priscus;Мамонтовая фауна;Монументы;5000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0615-bison-priscus.html;https://relictum.gallery/shared/img/ph_bison_skeleton.jpg;https://relictum.gallery/shared/img/int_ph_bison_skeleton.jpg;https://relictum.gallery/shared/img/g_bison_1.jpg;Плейстоцен;2,5 млн – 10 тыс лет назад;Россия;Рога с размахом более метра;"Мамонтовая степь плейстоцена, от Европы до Сибири. По ней паслись стада степного зубра Bison priscus — одного из самых массивных зверей ледниковой Евразии. Самцы достигали двух тонн веса и более двух метров в холке, а размах длинных загнутых вверх рогов превышал метр. Именно этого зверя чаще других рисовали на стенах пещер люди палеолита. Комплект костей полон — от массивного черепа с рогами размахом более метра до конечностей. По нему хорошо читаются пропорции животного, постановка головы и линия спины, какими они были в мамонтовой степи. Вид существовал от 2,5 миллиона до 10 тысяч лет назад и известен науке очень хорошо; скелет даёт возможность рассматривать не отдельные кости, а целый облик крупного травоядного плейстоцена."
R-0293;Аммонит Cleoniceras;Cleoniceras sp.;Аммониты;Жизнь;200000;RUB;in stock;В наличии;https://relictum.gallery/objects/0293-cleoniceras.html;https://relictum.gallery/shared/img/ph_ammo_cleoniceras.jpg;https://relictum.gallery/shared/img/int_ph_ammo_cleoniceras.jpg;https://relictum.gallery/shared/img/g_ammo_cleoniceras_2.jpg;Меловой период;≈ 113–100 млн лет;Мадагаскар;Пара половин, каждая в раме 34 × 5 × 38 см;Cleoniceras — род крупных аммонитов, живших в морях мелового периода. Их раковины находят в осадочных породах Европы, Ближнего Востока и Африки, но самые красивые добывают на Мадагаскаре. Здесь раковина замещена кальцитом, способным принимать самые неожиданные цвета. Распил открывает внутреннее устройство: перегородки, камеры и сифон, которыми моллюск управлял своей плавучестью.
R-0212;Скелет кейхозавра;Keichousaurus hui;Морские рептилии;Жизнь;1800000;RUB;in stock;В наличии;https://relictum.gallery/objects/0212-keichousaurus-hui.html;https://relictum.gallery/shared/img/ph_keichousaurus.jpg;https://relictum.gallery/shared/img/int_ph_keichousaurus.jpg;https://relictum.gallery/shared/img/g_keicho_2.jpg;Триасовый период;≈ 245 млн лет;Гуйчжоу, Китай;Плита 35,4 × 22,5 см, длина скелета 30,5 см;"Около 245 миллионов лет назад рептилии, не так давно освоившие сушу, начали возвращаться в море. Одна из первых таких линий — завроптеригии, к которым относится Keichousaurus hui. Небольшое тело, удлинённая шея, компактное туловище и конечности, превращённые в вёсла, — облик животного, ещё не ставшего морским до конца. Кейхозавры населяли тёплые мелководья на территории нынешнего Китая. Скелет сохранился полным и сочленённым на тёмной плите размером 35,4 × 22,5 сантиметра; длина самого животного — 30,5 сантиметра. Для этого рода такой размер считается крупным. Полная анатомическая связь костей делает плиту пригодной для изучения пропорций и посадки конечностей."
R-0302;Композиция из метеоритов Дронино;Dronino Iron;Метеориты;Космос;3000000;RUB;in stock;В наличии;https://relictum.gallery/objects/0302-dronino-composition.html;https://relictum.gallery/shared/img/ph_dronino_composition_2.jpg;https://relictum.gallery/shared/img/int_ph_dronino_composition_2.jpg;https://relictum.gallery/shared/img/g_dronino_composition_1.jpg;До зарождения жизни;≈ 4,5 млрд лет;Рязанская область, Россия;Семь индивидуалов на общей базе, суммарный вес 7 кг;Дронино — железный метеорит-атаксит, найденный в Рязанской области в 2000 году. Дождь его обломков рассыпался по полю задолго до находки: отдельные фрагменты лежали в земле как разбросанные части одного небесного тела, каждый со своим рельефом оплавления и коррозии. Семь таких фрагментов собраны вместе. На каждом читаются следы космического полёта и долгого пребывания в почве: корка плавления, ямки выветривания, переходы от тёмных коррозионных участков к светлому металлу. Их вещество старше Земли — почти чистое никелистое железо из глубины разрушенной протопланеты.
R-0616;Скелет плейстоценового волка;Canis lupus;Мамонтовая фауна;Монументы;4000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0616-pleistocene-wolf.html;https://relictum.gallery/shared/img/ph_pleistocene_wolf.jpg;https://relictum.gallery/shared/img/int_ph_pleistocene_wolf.jpg;https://relictum.gallery/shared/img/ph_pleistocene_wolf.jpg;Плейстоцен;2,6 млн – 11 тыс лет;Россия;;"Рядом с мамонтом и шерстистым носорогом по краю мамонтовой степи ледниковой Евразии держались стаи волков — крупнее и мощнее нынешних. Плейстоценовые популяции были приспособлены к охоте в открытом холодном ландшафте и к крупной добыче. Их кости находят там же, где и остатки остальной мамонтовой фауны. Экспонат — скелет плейстоценового волка, собранный для постоянного экспонирования. По нему видно, как устроено животное, приспособленное к бегу на большие расстояния: вытянутое туловище, длинные конечности, широкая грудная клетка. В составе коллекции ледникового периода такой волк показывает место среднего хищника между крупной травоядной фауной и мелкими падальщиками; его размеры позволяют видеть пропорции рядом с мамонтом или зубром."
R-0294;Аммонит юрский;Ammonitida;Аммониты;Жизнь;300000;RUB;in stock;В наличии;https://relictum.gallery/objects/0294-jurassic-ammonite.html;https://relictum.gallery/shared/img/ph_ammo_jurassic_polished.jpg;https://relictum.gallery/shared/img/int_ph_ammo_jurassic_polished.jpg;https://relictum.gallery/shared/img/g_jurassic_ammonite_260921110628.jpg;Юрский период;≈ 174 млн лет;По запросу;;Аммониты строили раковину камера за камерой, каждый раз чуть больше предыдущей, и всю жизнь жили только в последней. Позади оставалась череда пустых камер, наполненных газом, — они и держали животное в толще воды. Юрское море, из которого происходит этот экземпляр, существовало около ста семидесяти четырёх миллионов лет назад. В осадке вместе с илом сохранилась и раковина: виток за витком, с ритмом прироста и следами перегородок, по которым легко читать возраст и способ роста древнего моллюска.
R-0218;Скелет миксозавра;Mixosaurus;Морские рептилии;Жизнь;3500000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0218-mixosaurus-plate.html;https://relictum.gallery/shared/img/ph_ichthyosaur_plate.jpg;https://relictum.gallery/shared/img/int_ph_ichthyosaur_plate.jpg;https://relictum.gallery/shared/img/g_mixosaurus_plate_260921110558.jpg;Триасовый период;242–247 млн лет;Гуйчжоу, Китай;Плита 58 × 30 см, животное 85 см;"Около 245 миллионов лет назад, в триасовом периоде, океаны заново заселялись после великого вымирания; их новыми хищниками стали морские рептилии. Одним из них был Mixosaurus — «смешанный ящер», ранний ихтиозавр триасового периода. В его сложении ещё читаются черты наземных предков рядом с зачатками того скоростного пловца, каким ихтиозавры станут позже, приобретя облик, схожий с дельфиньим. Скелет длиной 85 сантиметров сохранился в плите тонкозернистого известняка 58 × 30 сантиметров: череп, позвоночник и элементы грудной клетки лежат в анатомической связи. Подача горизонтальная — так, как животное легло в осадок. Осадок ложился на дно быстро и мягко, поэтому кости не разошлись: скелет лежит в плите так, как животное легло на дно 245 миллионов лет назад."
R-0264;Коллекция бабочек;Papilionidae;Бабочки;Жизнь;200000;RUB;in stock;В наличии;https://relictum.gallery/objects/0264-butterflies-dark.html;https://relictum.gallery/shared/img/ph_butterflies_dark.jpg;https://relictum.gallery/shared/img/int_ph_butterflies_dark.jpg;https://relictum.gallery/shared/img/g_butterflies_dark_260921110629.jpg;;;;40 × 6 × 50 см (Д × Ш × В);"Четырнадцать тропических бабочек в одной раме: тёмные парусники с ультрамариновыми, изумрудными и жёлтыми сигналами на крыльях. Каждый экземпляр расправлен вручную и подписан этикеткой вида. Энтомологическая рама — самый старый жанр кабинета натуралиста: так собирали ещё викторианские коллекционеры. Один предмет закрывает целую стену и целую тему. В составе: Papilio dehaanii (Япония), Papilio gigon (Индонезия), Papilio adamantius (Индонезия), Eurytides protesilaus (Перу), Papilio memnon, самка (Индонезия), Eurytides serville (Перу), Papilio pericles (Индонезия), Papilio peranthus (Индонезия), Papilio polytes (Индонезия), Papilio androgeus (Перу), Papilio cynorta (Камерун), Graphium codrus (Индонезия), Papilio paris (Вьетнам), Papilio delalandei (Мадагаскар). Названия — по этикеткам изготовителя; уточнения владельца будут внесены."
R-0303;Метеорит Челябинск;Chelyabinsk LL5;Метеориты;Космос;476000;RUB;in stock;В наличии;https://relictum.gallery/objects/0303-chelyabinsk-1.html;https://relictum.gallery/shared/img/ph_chelyabinsk1.jpg;https://relictum.gallery/shared/img/int_ph_chelyabinsk1.jpg;https://relictum.gallery/shared/img/g_chelyabinsk_1_260921110613.jpg;До зарождения жизни;≈ 4,5 млрд лет;Челябинская область, Россия;70 × 55 × 30 мм, вес 119 г;Обыкновенный хондрит никогда не проходил через расплав: его вещество спеклось в недрах каменного астероида и осталось таким, каким было в начале Солнечной системы. Планетой это тело не стало — его разбило столкновением, и осколок шёл к Земле, пока не вспыхнул над Уралом. Утром 15 февраля 2013 года над Челябинском вспыхнул самый яркий болид века: тело около двадцати метров диаметром вошло в атмосферу и взорвалось на высоте в тридцать километров, а ударная волна выбила стёкла в тысячах домов. Осколки дождём рассыпались по снегу от Чебаркуля до Еманжелинска. Челябинск — обыкновенный хондрит типа LL5, вещество ровесника Солнечной системы. Этот индивидуал сохранил цельную кору плавления — тонкую чёрную плёнку, застывшую за несколько секунд полёта в атмосфере.
R-0223;Череп афровенатора;Afrovenator abakensis;Динозавры;Жизнь;125000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0223-afrovenator-model.html;https://relictum.gallery/shared/img/ph_afrovenator.jpg;https://relictum.gallery/shared/img/int_ph_afrovenator.jpg;https://relictum.gallery/shared/img/g_afro_1.jpg;Юрский период;прообраз 167–161 млн лет;Прообраз — Агадес, Нигер, авторская модель;Череп ≈ 80–90 см;"Около 167–161 миллиона лет назад, в юрском периоде, по равнинам нынешнего Нигера ходил Afrovenator abakensis — «африканский охотник», сравнительно лёгкий и длинноногий хищный теропод. Вид описан по частичному скелету, сохранившему большую часть черепа: пропорции челюстей, глазниц и височных окон известны именно по этой находке. Длина черепа — около 80–90 сантиметров: узкая хищная морда, крупные височные окна и зубной ряд теропода читаются целиком. Скелет нашла экспедиция Пола Серено в 1993 году в отложениях формации Тиурарен; описание вида вышло годом позже."
R-0260;Малахит;Malachite;Минералы;Земля;500000;RUB;in stock;В наличии;https://relictum.gallery/objects/0260-malachite-congo.html;https://relictum.gallery/shared/img/ph_malachite_congo.jpg;https://relictum.gallery/shared/img/int_ph_malachite_congo.jpg;https://relictum.gallery/shared/img/g_malachite_congo_1.jpg;;;Haut-Katanga, ДР Конго;42,5 × 24 × 9,7 см, вес 5,35 кг;Крупный образец малахита из провинции Верхняя Катанга — региона, который с конца XIX века считался одной из главных минералогических территорий Африки. Бельгийский геолог Жюль Корнэ описывал эти места как «геологическую сенсацию» из‑за концентрации медных, кобальтовых и полиметаллических руд. У малахита здесь сохранена микрокристаллическая текстура: плотный полосатый рисунок тонких волокон, по которым хорошо читается рост минерала. Между малахитовыми поверхностями вкраплён кальцит — мелкие, но правильные кристаллы, дающие иной блеск и цвет. Контраст зелёного малахита и светлого кальцита показывает, как в одном рудном теле последовательно откладывались разные минералы.
R-0617;Скелет мамонта;Mammuthus primigenius;Мамонтовая фауна;Монументы;45000000;RUB;preorder;Под заказ;https://relictum.gallery/objects/0617-mammoth-skeleton.html;https://relictum.gallery/shared/img/ph_mammoth_skeleton.jpg;https://relictum.gallery/shared/img/int_ph_mammoth_skeleton.jpg;https://relictum.gallery/shared/img/ph_mammoth_skeleton.jpg;Плейстоцен;2,6 млн – 11 тыс лет;Якутия, Россия;;Мамонтовая степь держалась не столько климатом, сколько собственными обитателями. Стада шерстистых мамонтов веками вытаптывали и удобряли её — и вместе с ними эта степь исчезла. Mammuthus primigenius — самый узнаваемый зверь ледниковой эпохи. Якутская мерзлота сохраняет его кость лучше любых других отложений планеты. Экспонат — полный скелет шерстистого мамонта, самый крупный экспонат коллекции. Монтаж выполнен на скрытом стальном каркасе, установку производит команда дома на месте. Полный скелет мамонта задаёт масштаб всему помещению: под него подбирают зал, а не место в зале. Это и научный экспонат первой величины, и предельная точка выставочной программы.
R-0298;Аммонит Speetoniceras;Speetoniceras versicolor;Аммониты;Жизнь;200000;RUB;in stock;В наличии;https://relictum.gallery/objects/0298-speetoniceras-small.html;https://relictum.gallery/shared/img/ph_ammo_speet_small.jpg;https://relictum.gallery/shared/img/int_ph_ammo_speet_small.jpg;https://relictum.gallery/shared/img/g_speetoniceras_small_260921110628.jpg;Меловой период;≈ 133–130 млн лет;Поволжье, Россия;20 см;Крупные раковины аммонитов рода Speetoniceras — одна из ярких особенностей палеонтологических находок Поволжья. Миллионы лет назад здесь простиралось мелководное Волжское море, связанное с древним океаном Тетис. Раковина строилась камера за камерой: моллюск жил только в последней, а пустые позади держали его в толще воды.
R-0265;Коллекция бабочек;Papilionidae;Бабочки;Жизнь;200000;RUB;in stock;В наличии;https://relictum.gallery/objects/0265-butterflies-blue.html;https://relictum.gallery/shared/img/ph_butterflies_blue.jpg;https://relictum.gallery/shared/img/int_ph_butterflies_blue.jpg;https://relictum.gallery/shared/img/g_butterflies_blue_260921110630.jpg;;;;40 × 6 × 50 см (Д × Ш × В);"Четырнадцать бабочек, собранных вокруг бирюзы и ультрамарина: морфо-синие крылья соседствуют с чёрно-белой графикой и лимонными акцентами. Каждый экземпляр подписан этикеткой вида. Синие тропические бабочки не содержат синего пигмента — цвет создаёт микроструктура чешуек, преломляющая свет. Рама живёт с освещением: угол меняется — меняется и цвет. В составе: Papilio lorquinianus (Индонезия), Papilio thoas (Перу), Papilio phorcas (Конго), Papilio torquatus (Перу), Papilio ulysses (Индонезия), Papilio demolion (Индонезия), Papilio arcturus (Вьетнам), Papilio karna (Индонезия), Papilio paeon (Перу), Graphium androcles (Индонезия), Papilio dardanus (Камерун), Papilio polytes, самка (Филиппины), Papilio blumei (Индонезия), Papilio polytes (Индонезия). Названия — по этикеткам изготовителя; уточнения владельца будут внесены."
